,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Age,DistanceFromHome,Education,EmployeeID,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
10,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,45,17,2,11,2,79910,0.0,13,2,21.0,2,20,4,10,0
11,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,36,28,1,12,1,33770,0.0,12,2,16.0,2,15,10,11,0
12,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,55,14,4,13,1,55380,0.0,17,0,37.0,2,36,4,13,0
13,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,47,1,1,14,1,57620,1.0,11,2,10.0,4,10,9,9,1
14,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,28,1,3,15,1,25920,1.0,14,0,5.0,2,5,0,4,0
15,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,37,1,3,16,2,53460,4.0,11,0,7.0,2,5,0,1,0
16,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,21,3,2,17,1,42130,1.0,12,3,3.0,3,3,1,0,0
17,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,37,1,3,18,2,41270,2.0,13,1,15.0,2,5,0,2,0
18,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,35,7,4,19,1,24380,7.0,16,0,10.0,5,7,6,2,0
19,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,38,8,3,20,1,68700,1.0,11,1,8.0,5,8,7,7,0
20,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,26,1,4,21,2,104470,1.0,18,0,6.0,3,6,1,4,0
21,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,50,8,4,22,1,96670,3.0,23,0,28.0,2,10,1,6,0
22,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,53,11,4,23,2,21480,3.0,11,0,21.0,2,5,1,3,0
23,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,42,4,4,24,1,89260,1.0,14,0,10.0,4,20,11,6,0
24,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,29,16,4,25,1,65130,1.0,11,1,10.0,2,10,0,9,0
25,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,55,1,4,26,1,67990,3.0,11,0,12.0,2,10,0,8,0
26,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,26,9,3,27,1,162910,1.0,22,0,5.0,3,5,3,3,0
27,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,37,5,1,28,1,27050,1.0,11,0,17.0,2,17,5,7,0
28,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,44,1,2,29,2,103330,3.0,14,1,19.0,2,1,0,0,1
29,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,38,2,3,30,1,44480,9.0,12,0,10.0,3,2,1,2,0
30,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,26,4,3,31,3,68540,2.0,11,0,5.0,5,3,0,2,1
31,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,28,7,3,32,1,96370,1.0,13,0,5.0,6,5,0,2,0
32,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,49,1,1,33,2,35910,9.0,13,0,22.0,2,3,1,2,0
33,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,36,5,3,34,3,54050,4.0,14,0,10.0,2,8,7,7,0
34,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,31,9,4,35,1,46840,1.0,16,1,2.0,4,2,2,2,0
35,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,26,8,3,36,2,157870,1.0,12,2,8.0,5,8,7,4,1
36,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,37,9,1,37,1,15140,1.0,14,0,4.0,3,4,1,2,0
37,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,42,2,2,38,3,29560,5.0,13,0,23.0,2,20,4,8,0
38,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,18,1,4,39,1,23350,1.0,14,2,0.0,3,0,0,0,1
39,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,35,20,2,40,1,51540,0.0,19,0,12.0,2,11,6,9,0
40,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,36,8,3,41,3,69620,4.0,12,2,4.0,2,1,0,0,0
41,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,51,2,3,42,2,56750,5.0,13,0,13.0,2,4,1,2,0
42,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,41,29,1,43,1,23790,1.0,12,0,22.0,6,22,0,4,0
43,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,18,7,3,44,1,38120,1.0,15,0,0.0,3,0,0,0,0
44,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,28,9,3,45,1,46480,0.0,23,2,9.0,2,8,0,7,0
45,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,31,8,1,46,1,29360,4.0,12,1,10.0,2,8,7,7,0
46,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,39,5,4,47,2,21050,0.0,20,0,19.0,3,18,3,7,0
47,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,36,5,4,48,1,85780,7.0,21,0,11.0,4,9,0,8,0
48,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,32,2,3,49,2,27060,1.0,21,1,13.0,4,13,4,8,0
49,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,38,5,2,50,3,63840,3.0,19,2,19.0,4,10,0,1,0
50,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,58,2,3,51,2,39680,2.0,13,2,12.0,3,5,1,2,0
51,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,31,20,1,52,3,99070,0.0,13,1,6.0,3,5,0,3,0
52,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,31,7,4,53,2,132250,3.0,21,1,9.0,2,2,1,0,0
53,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,45,3,1,54,1,35400,1.0,13,0,24.0,6,24,9,11,0
54,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,31,16,4,55,2,28040,0.0,19,2,3.0,0,2,2,2,0
55,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,33,9,3,56,4,193920,6.0,12,1,12.0,3,10,8,8,0
56,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,39,1,4,57,1,196650,1.0,22,1,21.0,6,21,11,10,0
57,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,43,7,4,58,4,24390,0.0,15,0,9.0,2,8,1,7,0
58,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,49,1,3,59,3,73140,7.0,22,0,25.0,2,7,0,7,0
59,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,52,7,1,60,2,47740,2.0,18,1,11.0,2,8,7,7,1
60,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,27,15,4,61,3,39020,1.0,22,0,4.0,2,4,1,2,0
61,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,32,1,3,62,3,26620,1.0,11,1,13.0,6,13,11,9,0
62,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,27,13,2,63,4,28560,1.0,12,2,5.0,5,5,0,4,0
63,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,31,24,3,64,2,10810,4.0,11,3,13.0,4,7,1,7,0
64,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,32,7,3,65,2,24720,7.0,13,0,10.0,2,7,0,7,0
65,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,28,9,4,66,1,56730,5.0,14,1,5.0,4,3,2,2,1
66,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,30,13,3,67,4,41970,1.0,13,0,11.0,3,10,1,9,0
67,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,31,2,1,68,1,97130,1.0,17,0,10.0,5,10,8,9,0
68,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,39,19,4,69,1,20620,1.0,13,0,21.0,4,21,13,3,0
69,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,39,1,1,70,1,42840,4.0,17,1,12.0,0,1,0,0,1
70,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,33,4,2,71,4,47880,3.0,11,1,9.0,0,7,0,1,0
71,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,47,4,3,72,2,59060,4.0,23,0,21.0,4,3,1,1,0
72,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,43,14,3,73,5,38860,1.0,17,2,9.0,2,9,0,0,0
73,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,27,2,3,74,1,168230,0.0,17,0,6.0,3,5,1,4,0
74,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,54,1,4,75,2,29330,3.0,12,2,20.0,2,4,0,3,0
75,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,43,7,2,76,2,65000,8.0,23,0,10.0,3,1,0,0,0
76,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,45,3,1,77,1,171740,9.0,14,1,12.0,6,10,9,8,0
77,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,40,2,4,78,4,50330,2.0,14,2,6.0,6,4,0,2,0
78,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,29,29,3,79,1,23070,1.0,13,1,7.0,0,7,0,7,1
79,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,29,8,3,80,3,25870,0.0,22,2,4.0,3,3,2,2,0
80,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,30,10,3,81,2,55070,1.0,12,2,10.0,2,10,1,2,0
81,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,27,11,2,82,1,43930,1.0,18,1,8.0,2,8,0,7,0
82,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,37,1,4,83,2,133480,7.0,14,0,8.0,4,6,0,4,0
83,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,38,28,4,84,1,65830,0.0,12,0,12.0,1,11,2,9,0
84,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,31,6,3,85,3,81030,1.0,15,1,11.0,5,11,4,10,0
85,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,29,3,4,86,3,39780,1.0,11,0,7.0,0,7,1,7,0
86,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,35,16,2,87,3,25440,0.0,13,1,17.0,3,16,0,13,0
87,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,23,20,4,88,1,53990,1.0,23,0,4.0,2,4,0,2,0
88,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,41,9,2,89,1,54870,6.0,19,2,8.0,0,5,1,2,0
89,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,47,1,3,90,2,68340,3.0,16,1,5.0,2,0,0,0,0
90,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,42,3,4,91,1,10910,2.0,22,0,16.0,0,1,0,0,0
91,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,29,22,4,92,2,57360,1.0,22,0,4.0,1,4,0,2,0
92,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,42,7,4,93,3,22260,0.0,12,1,4.0,3,3,1,0,0
93,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,32,2,3,94,2,57470,1.0,13,0,8.0,0,8,0,7,0
94,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,48,13,4,95,4,98540,3.0,16,1,15.0,2,0,0,0,0
95,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,37,8,5,96,2,54670,4.0,12,0,13.0,2,7,6,7,0
96,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,30,25,4,97,1,53800,7.0,21,1,4.0,0,2,2,2,0
97,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,26,28,3,98,5,51510,1.0,15,3,8.0,3,8,7,7,0
98,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,42,2,2,99,1,21330,3.0,13,2,14.0,2,1,0,0,0
99,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,21,9,3,100,4,178750,1.0,12,0,3.0,5,3,1,2,1
100,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,36,28,3,101,2,24320,4.0,22,0,7.0,4,1,0,0,0
101,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,36,6,3,102,2,47710,4.0,13,1,16.0,2,13,1,12,0
102,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,57,21,4,103,5,191610,2.0,18,0,15.0,2,3,1,2,0
103,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,40,8,3,104,2,50870,3.0,14,1,10.0,3,7,1,7,0
104,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,21,1,5,105,2,28630,1.0,14,0,3.0,2,3,2,2,0
105,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,33,28,2,106,5,55610,1.0,21,1,1.0,3,1,0,0,1
106,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,37,5,3,107,4,21440,6.0,19,0,17.0,3,5,0,3,0
107,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,46,2,4,108,2,30650,2.0,11,0,7.0,3,1,0,0,0
108,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,41,16,1,109,1,28100,1.0,11,0,8.0,3,8,7,7,1
109,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,50,9,3,110,3,98880,6.0,15,0,20.0,2,4,1,3,0
110,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,8,3,111,1,86280,2.0,20,0,8.0,2,6,1,0,1
111,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,31,1,3,112,4,28670,0.0,24,0,3.0,5,2,2,2,0
112,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,21,10,2,113,1,53730,1.0,12,1,1.0,2,1,0,0,1
113,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,29,1,3,114,2,66670,9.0,12,1,6.0,6,3,1,2,0
114,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,35,29,3,115,3,50030,9.0,15,0,10.0,2,1,0,0,0
115,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,27,2,3,116,1,23670,2.0,12,1,5.0,2,5,0,4,0
116,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,28,2,2,117,3,28580,1.0,12,0,7.0,2,7,0,7,0
117,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,49,2,3,118,2,52040,8.0,14,1,26.0,3,5,0,0,0
118,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,51,1,2,119,1,41050,4.0,22,1,18.0,2,7,0,7,0
119,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,36,15,2,120,1,96790,4.0,12,0,6.0,1,2,2,2,0
120,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,34,7,3,121,1,56170,8.0,25,1,9.0,3,5,0,4,1
121,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,55,26,3,122,1,104480,2.0,13,0,30.0,3,5,1,2,0
122,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,24,1,3,123,5,28970,1.0,18,3,5.0,4,5,0,3,0
123,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,30,3,3,124,2,59680,1.0,13,0,1.0,3,1,0,0,0
124,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,26,14,3,125,2,75100,0.0,18,3,7.0,3,6,0,4,1
125,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,22,16,5,126,1,29910,1.0,19,2,2.0,3,2,1,2,0
126,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,36,1,3,127,5,196360,1.0,12,1,10.0,3,10,9,0,0
127,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,30,3,2,128,3,11290,9.0,19,0,3.0,2,1,0,0,1
128,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,37,10,1,129,1,133410,1.0,14,1,18.0,3,18,12,17,0
129,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,40,6,2,130,3,43320,7.0,14,2,8.0,3,5,1,3,0
130,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,42,2,3,131,4,110310,3.0,12,1,8.0,2,5,1,2,0
131,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,37,9,1,132,3,44400,2.0,11,1,18.0,3,1,0,1,0
132,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,43,10,2,133,1,46170,1.0,11,0,25.0,2,25,3,9,0
133,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,40,6,2,134,1,26470,6.0,13,0,20.0,2,1,0,0,0
134,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,54,9,3,135,2,63230,4.0,23,1,24.0,2,4,1,2,0
135,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,34,28,3,136,1,56770,9.0,20,1,6.0,3,3,1,2,0
136,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,31,10,4,137,3,21870,1.0,15,1,13.0,2,13,3,12,0
137,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,43,14,3,138,1,37480,7.0,14,2,10.0,3,3,1,2,0
138,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,43,27,4,139,2,39770,4.0,18,1,8.0,3,5,0,2,0
139,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,25,7,2,140,1,86330,1.0,19,1,5.0,2,5,1,3,0
140,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,37,1,3,141,3,20080,3.0,22,0,15.0,5,13,10,7,0
141,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,31,24,1,142,3,44400,1.0,13,1,4.0,2,4,3,2,0
142,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,39,26,4,143,1,30670,1.0,20,1,21.0,5,21,1,6,0
143,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,56,20,4,144,3,53210,9.0,14,0,36.0,1,7,7,7,0
144,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,30,5,4,145,2,54100,0.0,17,1,6.0,2,5,4,4,0
145,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,41,7,3,146,3,27820,1.0,14,0,10.0,2,10,0,7,0
146,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,28,7,3,147,3,119570,1.0,13,0,10.0,2,10,1,8,0
